x1,x2,x3,y
0.77395606,0.7207284,0.7407728,-1.9669499
0.43887845,0.7112378,0.99580646,-1.7398903
0.85859793,0.20269503,0.04097731,-0.097345956
0.697368,0.036655396,0.24491943,-0.6682327
0.09417735,0.3037995,0.59774077,-0.67388594
0.97562236,0.1571363,0.41519445,-0.18172304
0.7611397,0.3957885,0.6375562,-1.1117254
0.7860643,0.9793461,0.5864043,-0.7106902
0.12811363,0.18107137,0.7879895,-1.0782619
0.45038593,0.31887394,0.07090292,-0.20511618
0.37079802,0.72511435,0.44061607,-1.3601457
0.92676497,0.5091828,0.8600538,-3.5048585
0.6438651,0.043928143,0.3627619,-0.5767596
0.8227616,0.16169001,0.5037888,-0.17550361
0.4434142,0.93524957,0.021578627,-0.000607796
0.22723871,0.10316499,0.22417389,-0.8890885
0.5545848,0.6350928,0.4636551,-0.80657154
0.063817255,0.7923257,0.39896813,-1.3592831
0.8276312,0.26543906,0.71465486,-1.2849259
0.6316644,0.725078,0.61188,-1.4299487
0.75808775,0.16989517,0.8802825,-0.90247965
0.35452595,0.28475028,0.8547707,-1.9677427
0.970698,0.31182203,0.24121983,-0.22703111
0.8931211,0.996435,0.01763873,-0.0001007557
0.7783835,0.2145723,0.8544708,-1.2883261
0.19463871,0.12920746,0.32912087,-0.81635815
0.466721,0.9256914,0.3471097,-0.5474535
0.043803766,0.1619307,0.1583948,-0.5002153
0.1542895,0.8792799,0.6930073,-2.1904392
0.68304896,0.6504566,0.28010893,-0.11417822
0.7447622,0.5768615,0.1767431,-0.06687379
0.96750975,0.7513387,0.5033907,-0.33223426
0.32582536,0.72599894,0.7504159,-2.5545554
0.3704597,0.11052619,0.2695986,-1.0001913
0.46955582,0.9994661,0.722039,-1.006877
0.18947136,0.9418897,0.4619751,-2.176184
0.12992151,0.89659196,0.4037727,-1.5083448
0.47570494,0.6222891,0.35952088,-0.4035799
0.22690935,0.5227913,0.14558096,-0.12185918
0.669814,0.5362786,0.33263376,-0.20384827
0.4371519,0.0149369445,0.87925154,-0.24584317
0.8326782,0.4994695,0.10216692,-0.05393393
0.7002651,0.6237696,0.9583,-2.6299968
0.31236663,0.6587062,0.10749653,-0.02862203
0.8322598,0.33213946,0.36203164,-0.26955956
0.80476433,0.47128236,0.6063062,-0.90814257
0.38747838,0.6363106,0.8378414,-3.5645475
0.2883281,0.4283055,0.14358282,-0.23746218
0.6824955,0.9621352,0.14110222,-0.006469837
0.13975248,0.70544213,0.62837815,-2.5543733
0.1999082,0.0012737463,0.29274663,-0.7877096
0.00736227,0.02327948,0.6445021,-0.1761671
0.78692436,0.6903002,0.8205832,-2.8963077
0.66485083,0.4126451,0.07687051,-0.10824848
0.7051654,0.8394709,0.8444941,-1.6932099
0.78072906,0.17301542,0.037585355,-0.11964389
0.45891577,0.013826914,0.8988262,-0.22279064
0.5687412,0.38808236,0.9756181,-1.8152385
0.139797,0.7360641,0.6674552,-2.5711687
0.11453007,0.9717277,0.9842553,-0.48007777
0.66840297,0.8836539,0.82199186,-1.3107464
0.47109622,0.48407462,0.0443655,-0.056892466
0.5652361,0.8128173,0.0038109443,-0.0010483587
0.76499885,0.070330456,0.02079849,-0.09873155
0.6347183,0.57227236,0.45190695,-0.47446
0.5535794,0.9242984,0.6233826,-1.555867
0.55920714,0.39638513,0.48147184,-0.35492757
0.3039501,0.96010065,0.67713034,-1.8130537
0.030817835,0.2206851,0.44960263,-0.29950303
0.4367174,0.10563381,0.042563803,-0.21647725
0.21458468,0.52476233,0.22616671,-0.20171215
0.40852866,0.9072469,0.9926242,-0.70635545
0.8534031,0.3112792,0.34586385,-0.29192635
0.23393948,0.80016035,0.32476574,-0.5643943
0.05830274,0.16919726,0.15279205,-0.49180168
0.2813839,0.7455704,0.9871437,-1.6911453
0.29359376,0.5570269,0.23045932,-0.17879501
0.6619165,0.17501697,0.64682657,-0.52588975
0.55703217,0.71808726,0.04204746,-0.005779336
0.78389823,0.7137561,0.06647233,-0.005518286
0.66431355,0.5154352,0.7167517,-2.3747487
0.40638685,0.22546764,0.63516814,-0.64453816
0.8140204,0.1322939,0.6801624,-0.5031709
0.16697292,0.95725507,0.23097041,-0.12003769
0.022712072,0.65581256,0.984889,-2.187433
0.09004786,0.8092415,0.5583752,-3.00852
0.72235936,0.6969705,0.96954817,-2.1309128
0.46187723,0.8294737,0.16417055,-0.025297482
0.16127178,0.16249081,0.4050995,-0.50610566
0.50104475,0.49695024,0.33568552,-0.3068369
0.1523121,0.66712475,0.7550749,-2.9449182
0.69632035,0.1033899,0.7475714,-0.5654054
0.44615626,0.14995696,0.4865438,-0.29032364
0.38102123,0.6339826,0.016148005,-0.010630619
0.3015121,0.8687058,0.17520571,-0.03837188
0.6302826,0.6604162,0.050265666,-0.010755331
0.36181262,0.036204815,0.84701455,-0.33470312
0.08764992,0.97043294,0.28977156,-0.33248252
0.1180059,0.1395069,0.117922634,-0.42180625
0.9618977,0.23256223,0.35417238,-0.24813175
0.9085807,0.9749673,0.07728931,-0.000516224
0.69970715,0.771033,0.97885716,-1.5704746
0.26586998,0.93657666,0.3150079,-0.4789128
0.96917635,0.8066197,0.9330667,-1.6598996
0.7787509,0.6517345,0.6827287,-1.6489806
0.7168902,0.284553,0.566107,-0.40555018
0.4493615,0.32688144,0.475497,-0.3461475
0.27224156,0.94727105,0.68738014,-1.8336822
0.09639096,0.8606256,0.68627536,-2.3210588
0.9026024,0.35949045,0.010521061,-0.032697517
0.4557763,0.3732674,0.90778375,-2.5231261
0.20236337,0.29769439,0.36796343,-0.53377837
0.30595663,0.32613015,0.35327312,-0.55559087
0.5792196,0.86066747,0.40659055,-0.8051728
0.17677279,0.010506856,0.6852828,-0.2056671
0.8566143,0.43605262,0.37601775,-0.16589645
0.75851953,0.9428397,0.37383106,-0.3035404
0.71946293,0.54263633,0.06346488,-0.032726683
0.43209305,0.4504458,0.41664165,-0.40143996
0.62730885,0.3123698,0.14947848,-0.36886284
0.584098,0.07391263,0.8555893,-0.4573045
0.6498466,0.22448649,0.33451107,-0.62026495
0.08444432,0.09045841,0.9608674,-0.31969875
0.4158074,0.12669943,0.684528,-0.51335454
