x1,x2,x3,x4,x5,x6,y
0.77395606,0.7207284,0.7407728,0.34712547,0.29141974,0.88219607,-0.44902045
0.43887845,0.7112378,0.99580646,0.42101637,0.12083649,0.41403526,-0.39607245
0.85859793,0.20269503,0.04097731,0.98469937,0.10737289,0.61266685,-0.0031002716
0.697368,0.036655396,0.24491943,0.084194094,0.009343492,0.14080118,-0.02532662
0.09417735,0.3037995,0.59774077,0.11165113,0.97835636,0.5270196,-0.8202556
0.97562236,0.1571363,0.41519445,0.43537036,0.6550809,0.42397726,-0.036316272
0.7611397,0.3957885,0.6375562,0.16924365,0.32123712,0.48374957,-0.6252623
0.7860643,0.9793461,0.5864043,0.6848302,0.5790786,0.18427409,-0.16116005
0.12811363,0.18107137,0.7879895,0.36067754,0.6190739,0.8662214,-0.4609441
0.45038593,0.31887394,0.07090292,0.84620744,0.18292896,0.07997051,-0.113991074
0.37079802,0.72511435,0.44061607,0.74861056,0.2888682,0.7812006,-0.118588366
0.92676497,0.5091828,0.8600538,0.4708068,0.54727775,0.94412374,-0.24509606
0.6438651,0.043928143,0.3627619,0.8449794,0.8397945,0.10633688,-0.0023792926
0.8227616,0.16169001,0.5037888,0.10081884,0.12958866,0.4336846,-0.2821849
0.4434142,0.93524957,0.021578627,0.58109903,0.85833573,0.58495003,-0.042964894
0.22723871,0.10316499,0.22417389,0.60513294,0.6089861,0.9913347,-0.10411014
0.5545848,0.6350928,0.4636551,0.2460211,0.48965934,0.86538297,-0.4162255
0.063817255,0.7923257,0.39896813,0.049621325,0.1439404,0.4142289,-0.2117842
0.8276312,0.26543906,0.71465486,0.535199,0.54990387,0.9679171,-0.2223067
0.6316644,0.725078,0.61188,0.51367706,0.35363162,0.33126578,-0.4403201
0.75808775,0.16989517,0.8802825,0.6536118,0.18896717,0.33999115,-0.07709555
0.35452595,0.28475028,0.8547707,0.21292874,0.8799735,0.50625867,-0.112980925
0.970698,0.31182203,0.24121983,0.17964336,0.46057266,0.7795757,-0.2785301
0.8931211,0.996435,0.01763873,0.9779159,0.07975603,0.1921681,-0.00681341
0.7783835,0.2145723,0.8544708,0.1136885,0.3021387,0.74246657,-0.7827388
0.19463871,0.12920746,0.32912087,0.9994086,0.18150488,0.0027001423,-0.0034043433
0.466721,0.9256914,0.3471097,0.7199768,0.93924516,0.26247972,-1.0888016
0.043803766,0.1619307,0.1583948,0.62932223,0.24306197,0.9744687,-0.34625405
0.1542895,0.8792799,0.6930073,0.3397835,0.5063967,0.6564662,-0.2755053
0.68304896,0.6504566,0.28010893,0.8678031,0.7455225,0.46256056,-0.018865446
0.7447622,0.5768615,0.1767431,0.9100616,0.15851088,0.731763,-0.009877481
0.96750975,0.7513387,0.5033907,0.721884,0.4374876,0.43525627,-0.013230988
0.32582536,0.72599894,0.7504159,0.7098886,0.6532814,0.10668852,-1.7922337
0.3704597,0.11052619,0.2695986,0.49315464,0.8819537,0.4975694,-0.063196465
0.46955582,0.9994661,0.722039,0.07783487,0.65410316,0.95540196,-0.017141873
0.18947136,0.9418897,0.4619751,0.99902904,0.08008385,0.27260178,-0.1080831
0.12992151,0.89659196,0.4037727,0.015555381,0.32156146,0.052874897,-0.056687217
0.47570494,0.6222891,0.35952088,0.4953974,0.3509322,0.7413464,-0.7078086
0.22690935,0.5227913,0.14558096,0.3671343,0.38827345,0.4544048,-1.0419655
0.669814,0.5362786,0.33263376,0.77613235,0.94161856,0.33470488,-0.0674124
0.4371519,0.0149369445,0.87925154,0.73578036,0.035703354,0.48753908,-0.05708644
0.8326782,0.4994695,0.10216692,0.62804973,0.3021736,0.92999953,-0.10700937
0.7002651,0.6237696,0.9583,0.07473854,0.49245593,0.25024927,-0.05189865
0.31236663,0.6587062,0.10749653,0.23684944,0.08639602,0.20052001,-0.4807673
0.8322598,0.33213946,0.36203164,0.09415843,0.48353797,0.53391147,-0.3188991
0.80476433,0.47128236,0.6063062,0.97897637,0.10712892,0.46330833,-0.011550603
0.38747838,0.6363106,0.8378414,0.1277829,0.8377822,0.14979762,-0.22735721
0.2883281,0.4283055,0.14358282,0.9671927,0.27008438,0.5806573,-0.021749835
0.6824955,0.9621352,0.14110222,0.112712175,0.5230112,0.57449037,-0.04707388
0.13975248,0.70544213,0.62837815,0.86223036,0.61831784,0.60543084,-0.041261375
0.1999082,0.0012737463,0.29274663,0.5746302,0.3057256,0.41355547,-0.7780705
0.00736227,0.02327948,0.6445021,0.83172566,0.3513147,0.29004872,-0.05706883
0.78692436,0.6903002,0.8205832,0.634034,0.51051605,0.32832846,-0.07584545
0.66485083,0.4126451,0.07687051,0.76883715,0.8054347,0.83435714,-0.001407866
0.7051654,0.8394709,0.8444941,0.7308116,0.45269188,0.6250968,-0.032643564
0.78072906,0.17301542,0.037585355,0.26018697,0.49089593,0.39802364,-0.3221198
0.45891577,0.013826914,0.8988262,0.9350483,0.59586495,0.61326694,-0.010979696
0.5687412,0.38808236,0.9756181,0.6436461,0.42521143,0.34961393,-0.16096541
0.139797,0.7360641,0.6674552,0.20208412,0.72607833,0.8626479,-0.18039842
0.11453007,0.9717277,0.9842553,0.30604202,0.004907607,0.72763205,-0.041469876
0.66840297,0.8836539,0.82199186,0.533051,0.48301974,0.100948654,-0.9044565
0.47109622,0.48407462,0.0443655,0.88182676,0.9230162,0.056170013,-0.29099092
0.5652361,0.8128173,0.0038109443,0.7967531,0.6159038,0.033417407,-1.1358799
0.76499885,0.070330456,0.02079849,0.302048,0.48639974,0.027533436,-0.023983568
0.6347183,0.57227236,0.45190695,0.68848634,0.7720248,0.49690998,-0.0377369
0.5535794,0.9242984,0.6233826,0.0016568301,0.39300075,0.18084182,-0.0797931
0.55920714,0.39638513,0.48147184,0.33264104,0.4672456,0.67453283,-1.1440006
0.3039501,0.96010065,0.67713034,0.8395952,0.19515972,0.4827623,-0.09138436
0.030817835,0.2206851,0.44960263,0.1512012,0.12420415,0.09347689,-0.13234499
0.4367174,0.10563381,0.042563803,0.35339525,0.025522724,0.0058318404,-0.032381147
0.21458468,0.52476233,0.22616671,0.001043317,0.7315089,0.036724746,-0.031912375
0.40852866,0.9072469,0.9926242,0.023132727,0.4681901,0.53333676,-0.05762373
0.8534031,0.3112792,0.34586385,0.146019,0.9393532,0.5866043,-0.002942738
0.23393948,0.80016035,0.32476574,0.10186306,0.17681605,0.3530144,-0.24561647
0.05830274,0.16919726,0.15279205,0.48972934,0.24398343,0.078900486,-0.110309824
0.2813839,0.7455704,0.9871437,0.9000044,0.63872594,0.93468887,-0.02488197
0.29359376,0.5570269,0.23045932,0.08464171,0.054597687,0.40571365,-0.24957028
0.6619165,0.17501697,0.64682657,0.86983687,0.50341326,0.4293086,-0.021316074
0.55703217,0.71808726,0.04204746,0.6681578,0.123581514,0.38145766,-0.33685493
0.78389823,0.7137561,0.06647233,0.16889487,0.16139746,0.05946737,-0.052159443
0.66431355,0.5154352,0.7167517,0.28973648,0.51209986,0.7104475,-0.48738754
0.40638685,0.22546764,0.63516814,0.19418348,0.5690708,0.6648102,-0.98708934
0.8140204,0.1322939,0.6801624,0.7892985,0.21203475,0.16446452,-0.009794536
0.16697292,0.95725507,0.23097041,0.72510034,0.27123863,0.2685823,-0.4462963
0.022712072,0.65581256,0.984889,0.30440935,0.2841076,0.5469198,-0.502093
0.09004786,0.8092415,0.5583752,0.05433433,0.14180982,0.37676623,-0.203771
0.72235936,0.6969705,0.96954817,0.16874076,0.96572083,0.9979292,-0.0011795206
0.46187723,0.8294737,0.16417055,0.6298764,0.69219995,0.49647763,-0.15338686
0.16127178,0.16249081,0.4050995,0.09037281,0.11084183,0.8822294,-0.87896067
0.50104475,0.49695024,0.33568552,0.5364655,0.35716018,0.20461278,-0.6991553
0.1523121,0.66712475,0.7550749,0.612929,0.1726028,0.556221,-0.28757012
0.69632035,0.1033899,0.7475714,0.6877536,0.23438613,0.3217954,-0.09126342
0.44615626,0.14995696,0.4865438,0.12535575,0.9394778,0.93450165,-0.12386385
0.38102123,0.6339826,0.016148005,0.4597059,0.13675295,0.55118054,-0.4599201
0.3015121,0.8687058,0.17520571,0.4633966,0.8798117,0.65394604,-0.018759664
0.6302826,0.6604162,0.050265666,0.8352826,0.841835,0.076020785,-0.4121676
0.36181262,0.036204815,0.84701455,0.468717,0.74366826,0.48768717,-0.09766951
0.08764992,0.97043294,0.28977156,0.40679577,0.496722,0.5794731,-0.13979988
0.1180059,0.1395069,0.117922634,0.12346045,0.25836766,0.2904029,-0.6378567
0.9618977,0.23256223,0.35417238,0.6944643,0.8309799,0.73576665,-0.00117049
0.9085807,0.9749673,0.07728931,0.6197895,0.834075,0.46658,-0.002877174
0.69970715,0.771033,0.97885716,0.7169499,0.525316,0.5613104,-0.02821203
0.26586998,0.93657666,0.3150079,0.65628326,0.047613386,0.36093032,-0.49821672
0.96917635,0.8066197,0.9330667,0.87528384,0.19296119,0.67650527,-0.046087146
0.7787509,0.6517345,0.6827287,0.8773461,0.05608346,0.10317149,-0.073031016
0.7168902,0.284553,0.566107,0.30768326,0.17983802,0.50622743,-0.82767695
0.4493615,0.32688144,0.475497,0.18241206,0.5084213,0.89564043,-0.7914224
0.27224156,0.94727105,0.68738014,0.9264775,0.8541735,0.23518386,-0.36631295
0.09639096,0.8606256,0.68627536,0.71303993,0.6532368,0.868448,-0.029722512
0.9026024,0.35949045,0.010521061,0.9709774,0.600903,0.8850516,-0.0007959949
0.4557763,0.3732674,0.90778375,0.4969557,0.74795353,0.23043178,-0.2190361
0.20236337,0.29769439,0.36796343,0.9622434,0.6399115,0.080724604,-0.02422045
0.30595663,0.32613015,0.35327312,0.122718796,0.44342726,0.7644184,-1.5351334
0.5792196,0.86066747,0.40659055,0.5903646,0.81536347,0.95858204,-0.0032386633
0.17677279,0.010506856,0.6852828,0.4967353,0.31018448,0.25571665,-0.47149482
0.8566143,0.43605262,0.37601775,0.0026449214,0.9281149,0.9130039,-0.0014015131
0.75851953,0.9428397,0.37383106,0.19289872,0.11619058,0.20816742,-0.07048568
0.71946293,0.54263633,0.06346488,0.15347216,0.6376799,0.35930467,-0.053448718
0.43209305,0.4504458,0.41664165,0.06080929,0.50051636,0.885906,-0.5098002
0.62730885,0.3123698,0.14947848,0.9481491,0.42576167,0.30406046,-0.014771071
