任务开始运行于 r4518u05n01.misha.ycrc.yale.edu at Sat Dec 20 04:15:12 EST 2025
CUDA_VISIBLE_DEVICES: 0
正在使用的显卡信息：
NVIDIA A40
+ python -u src/train_rl.py --total_episodes 5000 --max_steps 20 --n_candidates 128 --hidden_dim 64 --n_cross_attn_layers 2 --update_every 20 --save_every 1000 --save_dir ./runs/ppo_bo_1220 --seed 42
/gpfs/radev/pi/cohan/yz979/environment/miniconda3/envs/fl_test/lib/python3.11/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]

======================================================================
Improved PPO Training for Bayesian Optimization (Log-Goldstein-Price)
======================================================================
Device: cuda
Total Episodes: 5000
Max Steps per Episode: 20
Candidates per Step: 128
Update Every: 20 episodes
网络: hidden=64, self_attn=3, cross_attn=2, heads=8
======================================================================

TensorBoard 日志目录: ./runs/ppo_bo_1220/tensorboard
环境已创建: 1 个 Log-Goldstein-Price 变体
PPO 网络参数量: 285,124

开始训练...

Episode    20 | Reward:   2.18 | Regret: 2.8756 | Best: inf | LR: 1.00e-04
Episode    40 | Reward:   2.70 | Regret: 3.1954 | Best: inf | LR: 9.99e-05
Episode    60 | Reward:   2.89 | Regret: 3.0334 | Best: inf | LR: 9.98e-05
Episode    80 | Reward:   2.66 | Regret: 2.9901 | Best: inf | LR: 9.96e-05
Episode   100 | Reward:   2.86 | Regret: 2.9493 | Best: 2.9493 | LR: 9.94e-05
Episode   120 | Reward:   3.08 | Regret: 2.8357 | Best: 2.8223 | LR: 9.91e-05
Episode   140 | Reward:   3.45 | Regret: 2.6248 | Best: 2.6248 | LR: 9.88e-05
Episode   160 | Reward:   3.76 | Regret: 2.5493 | Best: 2.5493 | LR: 9.84e-05
Episode   180 | Reward:   4.22 | Regret: 2.4359 | Best: 2.4333 | LR: 9.80e-05
Episode   200 | Reward:   4.31 | Regret: 2.3141 | Best: 2.3033 | LR: 9.76e-05
Episode   220 | Reward:   4.38 | Regret: 2.3453 | Best: 2.3033 | LR: 9.70e-05
Episode   240 | Reward:   4.05 | Regret: 2.2931 | Best: 2.2658 | LR: 9.65e-05
Episode   260 | Reward:   4.16 | Regret: 2.2601 | Best: 2.2009 | LR: 9.59e-05
Episode   280 | Reward:   4.27 | Regret: 2.2879 | Best: 2.2009 | LR: 9.52e-05
Episode   300 | Reward:   4.26 | Regret: 2.3012 | Best: 2.2009 | LR: 9.46e-05
Episode   320 | Reward:   4.55 | Regret: 2.2365 | Best: 2.1915 | LR: 9.38e-05
Episode   340 | Reward:   4.90 | Regret: 2.1688 | Best: 2.1688 | LR: 9.30e-05
Episode   360 | Reward:   4.79 | Regret: 2.1558 | Best: 2.1316 | LR: 9.22e-05
Episode   380 | Reward:   4.67 | Regret: 2.0924 | Best: 2.0894 | LR: 9.14e-05
Episode   400 | Reward:   4.93 | Regret: 1.9688 | Best: 1.9630 | LR: 9.05e-05
Episode   420 | Reward:   5.02 | Regret: 1.8852 | Best: 1.8852 | LR: 8.95e-05
Episode   440 | Reward:   5.19 | Regret: 1.8710 | Best: 1.8464 | LR: 8.85e-05
Episode   460 | Reward:   5.17 | Regret: 1.8840 | Best: 1.8464 | LR: 8.75e-05
Episode   480 | Reward:   5.59 | Regret: 1.8450 | Best: 1.8433 | LR: 8.64e-05
Episode   500 | Reward:   5.69 | Regret: 1.8631 | Best: 1.8433 | LR: 8.54e-05
Episode   520 | Reward:   5.77 | Regret: 1.9037 | Best: 1.8433 | LR: 8.42e-05
Episode   540 | Reward:   5.39 | Regret: 1.9794 | Best: 1.8433 | LR: 8.31e-05
Episode   560 | Reward:   5.66 | Regret: 1.8905 | Best: 1.8433 | LR: 8.19e-05
Episode   580 | Reward:   5.71 | Regret: 1.8679 | Best: 1.8433 | LR: 8.06e-05
Episode   600 | Reward:   5.90 | Regret: 1.8785 | Best: 1.8433 | LR: 7.94e-05
Episode   620 | Reward:   5.71 | Regret: 1.9007 | Best: 1.8433 | LR: 7.81e-05
Episode   640 | Reward:   6.02 | Regret: 1.8390 | Best: 1.8331 | LR: 7.68e-05
Episode   660 | Reward:   6.06 | Regret: 1.8510 | Best: 1.8154 | LR: 7.55e-05
Episode   680 | Reward:   6.10 | Regret: 1.8031 | Best: 1.7924 | LR: 7.41e-05
