x1,x2,y
1.0958242,0.88291353,6.8997602
-0.24448624,0.84495103,10.219656
1.4343917,-1.1892198,10.648838
0.7894721,-1.8533784,8.120573
-1.6232907,-0.7848019,8.995068
1.9024894,-1.3714548,11.923909
1.0445588,-0.4168461,5.5165687
1.1442572,1.9173845,11.4684305
-1.4875455,-1.2757145,9.075946
-0.19845624,-0.72450423,3.4812791
-0.5168079,0.90045726,10.767524
1.70706,0.03673113,5.298041
0.5754605,-1.8242874,8.839463
1.2910465,-1.3532399,10.504928
-0.2263432,1.7409983,12.222369
-1.0910451,-1.58734,7.472008
0.21833915,0.5403711,7.948087
-1.744731,1.1693026,11.317829
1.3105247,-0.93824375,9.7386265
0.5266576,0.900312,8.591771
1.032351,-1.3204193,9.586758
-0.5818961,-0.8609989,5.7810507
1.8827921,-0.7527119,10.52575
1.5724845,1.98574,11.583642
1.113534,-1.1417109,9.617554
-1.2214452,-1.4831702,8.5218525
-0.13311599,1.7027657,12.025769
-1.824785,-1.3522773,9.564277
-1.3828421,1.5171196,12.81128
0.7321958,0.6018265,6.9504642
0.9790486,0.307446,7.0246735
1.870039,1.0053549,7.5261736
-0.69669855,0.9039958,10.942306
-0.5181612,-1.5578952,7.419813
-0.12177675,1.9978645,12.462761
-1.2421145,1.7675589,13.290628
-1.480314,1.5863678,12.970504
-0.09718029,0.48915654,8.505473
-1.0923626,0.09116533,6.1862483
0.67925596,0.14511433,7.038028
-0.25139233,-1.9402522,10.798807
1.3307128,-0.0021219922,5.2988005
0.8010604,0.49507827,6.8765984
-0.75053346,0.6348248,9.992416
1.3290392,-0.67144215,8.846007
1.2190574,-0.1148706,4.997005
-0.45008647,0.5452424,9.375399
-0.84668756,-0.28677797,4.4983783
0.729982,1.8485408,11.34529
-1.4409901,0.82176846,10.246765
-1.2003672,-1.994905,9.097961
-1.9705509,-1.906882,10.181676
1.1476976,0.7612008,6.7383833
0.65940344,-0.34941962,5.834833
0.8206615,1.3578838,9.512207
1.1229161,-1.3079383,9.908381
-0.1643369,-1.9446924,10.839893
0.27496478,-0.4476706,5.9532466
-1.440812,0.9442564,10.874655
-1.5418797,1.8869109,13.603255
0.6736118,1.5346155,10.37787
-0.115615174,-0.063701555,6.146432
0.26094443,1.2512691,10.41062
1.0599954,-1.7186781,9.570096
0.53887326,0.28908938,6.9079103
0.2143176,1.6971936,11.486395
0.23682864,-0.4144594,6.084476
-0.7841996,1.8404025,13.057445
-1.8767287,-1.1172596,9.38521
-0.25313044,-1.5774648,8.269311
-1.1416613,0.099049345,6.3887916
-0.36588544,1.6289874,12.241898
1.4136122,-0.7548831,9.44359
-1.064242,1.2006413,11.976127
-1.7667891,-1.323211,9.4587555
-0.87446445,0.98228157,11.286397
-0.82562494,0.22810777,7.767269
0.64766604,-1.2999321,7.6426005
0.22812861,0.872349,9.324438
1.1355928,0.85502446,6.7974706
0.65725416,0.061740916,7.0145617
-0.37445256,-1.0981294,4.5866947
1.2560816,-1.4708245,10.500092
-1.3321084,1.8290201,13.438449
-1.9091517,0.6232501,10.297859
-1.6398085,1.2369659,11.811943
0.8894374,0.7878821,7.061435
-0.15249108,1.3178947,11.342289
-1.3549129,-1.3500367,8.949926
0.0041791005,-0.012199102,6.388404
-1.3907516,0.66849905,9.449486
0.7852815,-1.5864404,8.139644
-0.2153749,-1.4001722,6.523591
-0.4759151,0.5359304,9.365009
-0.79395163,1.4748232,12.452587
0.5211304,0.64166474,7.527884
-0.5527496,-1.8551807,9.988849
-1.6494004,1.8817316,13.602358
-1.5279764,-1.4419724,9.353554
1.8475907,-1.069751,11.276789
1.6343228,1.8998691,11.129965
0.79882854,1.084132,8.500715
-0.93652016,1.7463068,13.055507
1.8767055,1.2264788,7.732772
1.1150036,0.6069379,6.8353486
0.86756074,-0.861788,7.7979536
-0.20255399,-0.69247425,3.68404
-0.91103375,1.7890843,13.1013565
-1.6144361,1.4425025,12.539864
1.6104096,-0.5620382,9.2395315
-0.17689484,-0.50693035,4.9307227
-1.1905465,-0.80922246,7.496235
-0.77617353,-0.69547945,5.9155626
0.3168783,1.4426699,10.764477
-1.2929089,-1.9579725,8.061094
1.4264572,-0.25578952,6.5806847
1.0340781,1.7713587,10.900852
0.87785184,0.17054541,7.028996
-0.27162784,-0.19821684,5.52798
0.5092354,-0.75052077,4.435339
0.33639187,-1.7043495,8.732586
0.5993864,-1.1020541,7.1562705
-1.6622227,-1.6381663,9.665116
-0.3367704,-1.4932023,7.2957783
-1.8335433,-1.3459338,9.558799
-0.024036722,-0.7918823,3.3666644
-0.68055516,-1.9559333,10.458172
-1.4219033,1.8005755,13.416605
-1.5863881,-1.5047237,9.499146
0.35057828,-0.4674045,5.809267
-1.3176281,1.5181103,12.809714
1.7004805,-1.5737281,11.780724
0.32424456,-0.06558299,6.793347
-0.61252075,1.3791344,12.086892
0.36366197,0.2278505,6.830094
-1.9087845,-1.1586256,9.446732
1.8342369,0.9420381,7.4063573
-0.07078625,0.72536427,9.470368
1.1309409,-0.55125636,7.348357
-1.66908,-1.8148193,9.432216
-0.053366676,-1.9685413,10.957307
-0.037172023,1.3015715,11.111243
1.7513058,-0.71377057,10.143539
0.2869122,-1.4489204,6.472
-0.10604239,0.07420491,6.506747
-0.9320974,1.6833332,12.9476185
-0.673724,-1.9660765,10.537355
0.08268961,-1.7754258,9.722488
-0.24435416,-0.33182028,5.2870736
-1.9135517,0.7038636,9.975082
1.3051677,-0.09559816,4.6935177
1.5846431,1.5901937,9.5217705
-1.4390036,-1.8236618,8.246736
